id,cc_domain,cc_app_id,name
853,connect-experiments,86bab9977e9afe5a61dbd30e0e500da7,Kenya Readers Distribution App
598,connect-experiments,0181d43975fd18d5cf8724f094abe47c,Kenya Readers Distribution App
